CustomerID,CustomerName,CustGender,CustomerDOB,phone,email,CustLocation,CustAccountBalance,account_type,kyc_status,created_at
C1032,Karim Maatoug,1,2002-10,+216.20.123.456,not available,Bizerte,  228666.56  ,IJARA,Suspendu,1988/04/03
 C1018 ,Bilel Zouari,MALE,2012,20123456,bilel.zouari@banqueislamique.tn,MISSING,377657.070000,WADIAH,Suspendu,ND
c1147,Ahmed Trabelsi,Femme,18-10-2008,216 40 123 456,ahmed.trabelsi@banqueislamique.tn,Ariana,TND 226877.53,MUDARABA,closed,2001
C1104,Nour Sfaxi,male,2020-05,+216.20.123.456,?,Tunis,  141491.21  ,musharaka,cloture,2022/07/27
C1196,Inès Khlifi,f,19860615,None,inès.khlifi@banqueislamique.tn,Gafsa,$474416.88,SALAM,actif,"November 30, 2004"
1105,Asma Chaari,M,UNKNOWN,20 123 456,asma.chaari@banqueislamique.tn,Gabès,276003.52,ISTISNA,closed,2001-12-03
C1134,Fatma Chaari,1,11/20/2003,201234567,fatma.chaari@banqueislamique.tn,Sfax,238175.36 TND,MUDARABA,BLOCKED,29/03/01
 C1122 ,Rania Sfaxi,M,03/02/1990,+216.20.123.456,rania.sfaxi@banqueislamique.tn,Sousse,377100.33 TND,wadiah,inactif,04/05/15
C1184,Mohamed Zouari,féminin,19880114,0 50 123 456,missing,Monastir,$277120.56,Ijara,Actif,"February 2, 2006"
C1183,Omar Jebali,masculin,26-01-1985,216 40 123 456,omar.jebali@banqueislamique.tn,Kairouan,TND 285374.79,istisna,ACTIF,2014
C01101,Amira Chaari,0,16/09/09,60123456,amira.chaari@banqueislamique.tn,Ariana,46695.28€,IJARA,suspendu,1990-02
C1079,Amira Khlifi,Femme,"December 1, 1995",2012345,amira.khlifi@banqueislamique.tn,Ben Arous,184573,MUDARABA,bloque,  2008-10-25  
C1016,Karim Nasri,0,19900107,?,--,Bizerte,$119802.21,murabaha,Actif,"June 14, 2010"
C1022,#N/A,Female,  2010-11-06  ,0 50 123 456,hajer.chaari@banqueislamique.tn,Gafsa,nan,MUDARABA,BLOCKED,26/03/1989
C1156,Nour Trabelsi,M,2004-07-18,80123456,nour.trabelsi@banqueislamique.tn,Monastir,39415.68,ijara,Actif,16-06-2018
1033,NULL,0,MISSING,20 123 456,mehdi.bouzid@banqueislamique.tn,Monastir,132673.69,SALAM,clôturé,1988-02-02
C1182,Mehdi Trabelsi,H,07/14/2022,00216 31 234 567,mehdi.trabelsi@banqueislamique.tn,Monastir,8316.03 TND,MURABAHA,actif,18/10/10
C1174,Asma Maatoug,m,2015,80123456,asma.maatoug@banqueislamique.tn,Gafsa,384742.330000,Ijara,cloture,missing
C1119,Youssef Bouzid,Male,2015/05/28,60123456,youssef.bouzid@banqueislamique.tn,Sousse,"314161.23,",IJARA,closed,12/29/2013
C1094,Bilel Ben Ali,f,  1995-04-09  ,0 50 123 456,bilel.ben.ali@banqueislamique.tn,Ben Arous,,MURABAHA,inactif,22/04/2019
 C1146 ,Rania Sfaxi,homme,04/11/1985,00216 31 234 567,rania.sfaxi@banqueislamique.tn,Ben Arous,328706.58 TND,Ijara,cloture,14/05/91
C01141,Mohamed Trabelsi,Female,NULL,20 123 456,mohamed.trabelsi@banqueislamique.tn,Gabès,405903.47,MURABAHA,ACTIF,1987-09-10
C1092,Rania Bouzid,female,2021-12,00216 31 234 567,rania.bouzid@banqueislamique.tn,Gafsa,  62264.39  ,MUDARABA,BLOCKED,1998/08/23
C1006,Tarek Jebali,FEMALE,2013,93 456 789,tarek.jebali@banqueislamique.tn,Sousse,185153.470000,ISTISNA,cloture,N/A
C1126,Nour Trabelsi,female,1987,20123456,nour.trabelsi@banqueislamique.tn,UNKNOWN,58148.630000,Murabaha,actif,None
1057,Mehdi Bouzid,FEMALE,missing,216 40 123 456,mehdi.bouzid@banqueislamique.tn,Monastir,223012.21,WADIAH,ACTIF,2018-05-12
C1060,Omar Chaari,f,2016-02-17,93 456 789,omar.chaari@banqueislamique.tn,Kairouan,32208.00,ijara,Suspendu,05-11-1999
c1035,Ahmed Zouari,MALE,2014/10/04,ABCDEFGH,ahmed.zouari@banqueislamique.tn,Bizerte,"57802.79,",IJARA,closed,04/21/2018
,,,,,,,,,,
c1051,Nour Bouzid,Male,15-05-2014,20 123 456,nour.bouzid@banqueislamique.tn,Gafsa,TND 221135.68,SALAM,bloque,2007
